('wav2vec_large_en', 'spokencoco_val', 5) {'mse': {'mean': 0.013934190680054834, 'std': 0.005204840448712531, 'alpha': 10}, 'r2': {'mean': -0.2631742751267333, 'std': 0.20861131055643745, 'alpha': 0.001}, 'pearson_r': {'mean': -0.024709076688024828, 'std': 0.029370615686248238, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 6) {'mse': {'mean': 0.013946069692506521, 'std': 0.005208435430864624, 'alpha': 10}, 'r2': {'mean': -0.2646580848007116, 'std': 0.2104827001550979, 'alpha': 10}, 'pearson_r': {'mean': -0.021615814661563426, 'std': 0.032468488600471045, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 7) {'mse': {'mean': 0.014004605962545717, 'std': 0.005173278688293718, 'alpha': 10}, 'r2': {'mean': -0.2747567257040765, 'std': 0.2259667703633516, 'alpha': 10}, 'pearson_r': {'mean': -0.038499566179058496, 'std': 0.0395147622716264, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 8) {'mse': {'mean': 0.014051087507893498, 'std': 0.005199383510563198, 'alpha': 10}, 'r2': {'mean': -0.27857211540757254, 'std': 0.22564919502454403, 'alpha': 10}, 'pearson_r': {'mean': -0.043045699077545393, 'std': 0.04342760664626724, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 9) {'mse': {'mean': 0.014022011857221756, 'std': 0.005231038629091022, 'alpha': 10}, 'r2': {'mean': -0.2725719494859484, 'std': 0.2148884145344749, 'alpha': 10}, 'pearson_r': {'mean': -0.07346298643741343, 'std': 0.05757008298849259, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 10) {'mse': {'mean': 0.014050588772962617, 'std': 0.005197157139247728, 'alpha': 10}, 'r2': {'mean': -0.27735694704290886, 'std': 0.2206047210499983, 'alpha': 10}, 'pearson_r': {'mean': -0.08730969001128075, 'std': 0.06358429765350078, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 11) {'mse': {'mean': 0.014014940015745658, 'std': 0.005022812864352513, 'alpha': 10}, 'r2': {'mean': -0.28366252701209216, 'std': 0.24662456074905406, 'alpha': 10}, 'pearson_r': {'mean': 0.10719703834376522, 'std': 0.07544084012864559, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 12) {'mse': {'mean': 0.014073666242156285, 'std': 0.004920095091272064, 'alpha': 10}, 'r2': {'mean': -0.2935522453480412, 'std': 0.25709093349469186, 'alpha': 10}, 'pearson_r': {'mean': 0.17027203924976883, 'std': 0.09885589198756044, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 13) {'mse': {'mean': 0.013673531014613905, 'std': 0.004467751137524843, 'alpha': 10}, 'r2': {'mean': -0.26804367243659954, 'std': 0.27674310312009226, 'alpha': 10}, 'pearson_r': {'mean': 0.2266988677525291, 'std': 0.108018100603143, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 14) {'mse': {'mean': 0.013590893518614356, 'std': 0.004463722390343446, 'alpha': 10}, 'r2': {'mean': -0.2555565388676151, 'std': 0.2611929817222993, 'alpha': 10}, 'pearson_r': {'mean': 0.22876298045861204, 'std': 0.1086543594958811, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 15) {'mse': {'mean': 0.013798200077516785, 'std': 0.004697998103554774, 'alpha': 10}, 'r2': {'mean': -0.2716193830850918, 'std': 0.2640920133314078, 'alpha': 10}, 'pearson_r': {'mean': 0.20303475460966566, 'std': 0.12087613332636296, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 16) {'mse': {'mean': 0.013981283980032257, 'std': 0.0048611737632776155, 'alpha': 10}, 'r2': {'mean': -0.2919639002607021, 'std': 0.2832626981876281, 'alpha': 10}, 'pearson_r': {'mean': 0.16360789490409022, 'std': 0.09860022830477475, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 17) {'mse': {'mean': 0.013967354854914248, 'std': 0.00493192650775524, 'alpha': 10}, 'r2': {'mean': -0.2865128503153446, 'std': 0.27292532085988935, 'alpha': 10}, 'pearson_r': {'mean': 0.15499195191489312, 'std': 0.09721067797681376, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 18) {'mse': {'mean': 0.014004763933966002, 'std': 0.005022041743050247, 'alpha': 10}, 'r2': {'mean': -0.2840716414639484, 'std': 0.2529602276856307, 'alpha': 10}, 'pearson_r': {'mean': 0.12411292136494283, 'std': 0.07788569356204483, 'alpha': 0.1}}
('wav2vec_large_en', 'spokencoco_val', 19) {'mse': {'mean': 0.01401843425828884, 'std': 0.005098554771965897, 'alpha': 10}, 'r2': {'mean': -0.28022858350486246, 'std': 0.23684993571975865, 'alpha': 10}, 'pearson_r': {'mean': 0.11602133214549495, 'std': 0.06920790950666382, 'alpha': 10}}
('wav2vec_large_en', 'spokencoco_val', 20) {'mse': {'mean': 0.013950849817242419, 'std': 0.005401503115717888, 'alpha': 10}, 'r2': {'mean': -0.25663806976995795, 'std': 0.1926572117834622, 'alpha': 0.001}, 'pearson_r': {'mean': -0.10078202428572243, 'std': 0.05524459121985165, 'alpha': 1}}
('wav2vec_large_en', 'spokencoco_val', 21) {'mse': {'mean': 0.013992931704531081, 'std': 0.005513730808711571, 'alpha': 10}, 'r2': {'mean': -0.25837838333491553, 'std': 0.1938339954239131, 'alpha': 0.001}, 'pearson_r': {'mean': -0.0919550969743937, 'std': 0.044858211782337246, 'alpha': 0.001}}
('wav2vec_large_en', 'spokencoco_val', 22) {'mse': {'mean': 0.014010908307410785, 'std': 0.005440686127687252, 'alpha': 10}, 'r2': {'mean': -0.2634953929621412, 'std': 0.20125372905313837, 'alpha': 10}, 'pearson_r': {'mean': -0.08637002731908514, 'std': 0.04544032991130046, 'alpha': 0.01}}
('wav2vec_large_en', 'spokencoco_val', 23) {'mse': {'mean': 0.01404166513880833, 'std': 0.005277329443567116, 'alpha': 10}, 'r2': {'mean': -0.2723642935300571, 'std': 0.2115627435723015, 'alpha': 10}, 'pearson_r': {'mean': -0.01695210189665338, 'std': 0.08268342918497677, 'alpha': 0.01}}
