('wav2vec_random', 'spokencoco_val', 5, '0.5', -0.04315230691910803, 1.6947230614513637e-06)
('wav2vec_random', 'spokencoco_val', 6, '0.5', -0.04356085018074659, 1.3506717244129438e-06)
('wav2vec_random', 'spokencoco_val', 7, '0.5', -0.04431159562646563, 8.85519360396651e-07)
('wav2vec_random', 'spokencoco_val', 8, '0.5', -0.044246788240063534, 9.186309183584296e-07)
('wav2vec_random', 'spokencoco_val', 9, '0.5', -0.043754762295191485, 1.211913000918934e-06)
('wav2vec_random', 'spokencoco_val', 10, '0.5', -0.04426293592501145, 9.102709275628785e-07)
('wav2vec_random', 'spokencoco_val', 11, '0.5', -0.043644310246444586, 1.2891727330798212e-06)
('wav2vec_small', 'spokencoco_val', 0, '0.5', -0.013031596911993664, 0.14847096653805242)
('wav2vec_small', 'spokencoco_val', 1, '0.5', -0.00788172507394688, 0.3821682646156604)
('wav2vec_small', 'spokencoco_val', 2, '0.5', -0.009406743766728433, 0.2969456381879703)
('wav2vec_small', 'spokencoco_val', 3, '0.5', -0.00917309872246797, 0.3091066150109454)
('wav2vec_small', 'spokencoco_val', 4, '0.5', -0.005364110437857473, 0.5520067882598524)
('wav2vec_small', 'spokencoco_val', 5, '0.5', 0.0016282906759961017, 0.8567297777964084)
('wav2vec_small', 'spokencoco_val', 6, '0.5', 0.01049621554095686, 0.24450059388991738)
('wav2vec_small', 'spokencoco_val', 7, '0.5', 0.005406690453422075, 0.5488549098803001)
('wav2vec_small', 'spokencoco_val', 8, '0.5', -0.005768947076527714, 0.5224044428290741)
('wav2vec_small', 'spokencoco_val', 9, '0.5', -0.007829196017196558, 0.38534852097129785)
('wav2vec_small', 'spokencoco_val', 10, '0.5', -0.004218838673344293, 0.6399488771958288)
('wav2vec_small', 'spokencoco_val', 11, '0.5', -0.010571932065662804, 0.2411140002452708)
('fast_vgs', 'librispeech_train', 0, '0.5', 0.03895928934969477, 4.891956140061775e-06)
('fast_vgs', 'librispeech_train', 1, '0.5', 0.07487726592413993, 1.481777043361512e-18)
('fast_vgs', 'librispeech_train', 2, '0.5', 0.07478910177407228, 1.625138122990253e-18)
('fast_vgs', 'librispeech_train', 3, '0.5', 0.08148135375876617, 1.0806428965273655e-21)
('fast_vgs', 'librispeech_train', 4, '0.5', 0.0891116723354202, 1.2067752879106204e-25)
('fast_vgs', 'librispeech_train', 5, '0.5', 0.1007647572846159, 2.313366280207545e-32)
('fast_vgs', 'librispeech_train', 6, '0.5', 0.1071058790870991, 2.293902166995514e-36)
('fast_vgs', 'librispeech_train', 7, '0.5', 0.10573475676179976, 1.7667138485447464e-35)
('fast_vgs', 'librispeech_train', 8, '0.5', 0.1269551284583985, 1.6820146982050788e-50)
('fast_vgs', 'librispeech_train', 9, '0.5', 0.12803528584365437, 2.434813749912997e-51)
('fast_vgs', 'librispeech_train', 10, '0.5', 0.13119228512511702, 7.788249773520641e-54)
('fast_vgs', 'librispeech_train', 11, '0.5', 0.12644929276629133, 4.13427073429147e-50)
('fast_vgs', 'librispeech_train', 12, '0.5', 0.12258524773112059, 3.5262850023095004e-47)
('wav2vec_random', 'librispeech_train', 0, '0.5', 0.05304902586577717, 4.849024990920037e-10)
('wav2vec_random', 'librispeech_train', 1, '0.5', 0.05426394294007737, 1.931876744301666e-10)
('wav2vec_random', 'librispeech_train', 2, '0.5', 0.05541589266455517, 7.924734529972442e-11)
('wav2vec_random', 'librispeech_train', 3, '0.5', 0.05587785165944753, 5.51558565973332e-11)
('wav2vec_random', 'librispeech_train', 4, '0.5', 0.05689759858138031, 2.4529861885526998e-11)
('wav2vec_random', 'librispeech_train', 5, '0.5', 0.05760267295793774, 1.3892923003945922e-11)
('wav2vec_random', 'librispeech_train', 6, '0.5', 0.05889726724584944, 4.806177314385602e-12)
('wav2vec_random', 'librispeech_train', 7, '0.5', 0.059444144268770774, 3.0484643541319225e-12)
('wav2vec_random', 'librispeech_train', 8, '0.5', 0.058951994997553096, 4.592965581407053e-12)
